Date,Gas Price,CCI Index
1996 January,1.186,100.3788
1996 February,1.181,100.4501
1996 March,1.219,100.5953
1996 April,1.305,100.6239
1996 May,1.378,100.6033
1996 June,1.354,100.7115
1996 July,1.328,100.8705
1996 August,1.298,100.9903
1996 September,1.293,101.0808
1996 October,1.287,101.2026
1996 November,1.308,101.3062
1996 December,1.318,101.3214
1997 January,1.318,101.3719
1997 February,1.312,101.4894
1997 March,1.293,101.6218
1997 April,1.288,101.786
1997 May,1.284,101.9715
1997 June,1.286,102.1406
1997 July,1.263,102.2544
1997 August,1.31,102.257
1997 September,1.334,102.2679
1997 October,1.3,102.261
1997 November,1.271,102.2427
1997 December,1.236,102.2111
1998 January,1.186,102.3632
1998 February,1.137,102.5259
1998 March,1.097,102.5334
1998 April,1.106,102.512
1998 May,1.146,102.4134
1998 June,1.148,102.2948
1998 July,1.134,102.1591
1998 August,1.108,101.9674
1998 September,1.091,101.7277
1998 October,1.099,101.5921
1998 November,1.086,101.6852
1998 December,1.046,101.8276
1999 January,1.031,102.0663
1999 February,1.014,102.2738
1999 March,1.048,102.3089
1999 April,1.232,102.3041
1999 May,1.233,102.3476
1999 June,1.204,102.3586
1999 July,1.244,102.3033
1999 August,1.309,102.242
1999 September,1.334,102.2317
1999 October,1.329,102.2112
1999 November,1.319,102.3287
1999 December,1.353,102.4917
2000 January,1.356,102.7204
2000 February,1.422,102.7728
2000 March,1.594,102.6926
2000 April,1.561,102.6742
2000 May,1.552,102.6491
2000 June,1.666,102.5511
2000 July,1.642,102.5179
2000 August,1.559,102.4834
2000 September,1.635,102.4339
2000 October,1.613,102.3259
2000 November,1.608,102.0756
2000 December,1.544,101.5502
2001 January,1.525,101.0296
2001 February,1.538,100.6491
2001 March,1.503,100.4849
2001 April,1.617,100.452
2001 May,1.812,100.5743
2001 June,1.731,100.653
2001 July,1.565,100.5674
2001 August,1.509,100.2673
2001 September,1.609,99.83488
2001 October,1.442,99.67899
2001 November,1.324,99.82603
2001 December,1.2,100.1819
2002 January,1.209,100.526
2002 February,1.21,100.7321
2002 March,1.324,100.9185
2002 April,1.493,100.971
2002 May,1.508,100.9451
2002 June,1.489,100.6955
2002 July,1.496,100.3614
2002 August,1.508,100.0861
2002 September,1.507,99.84526
2002 October,1.535,99.66342
2002 November,1.534,99.67841
2002 December,1.477,99.67588
2003 January,1.557,99.49805
2003 February,1.686,99.34033
2003 March,1.791,99.42319
2003 April,1.704,99.85572
2003 May,1.587,100.2822
2003 June,1.558,100.4377
2003 July,1.567,100.44
2003 August,1.671,100.3509
2003 September,1.771,100.3156
2003 October,1.646,100.4634
2003 November,1.578,100.7547
2003 December,1.538,101.0569
2004 January,1.635,101.3354
2004 February,1.715,101.2221
2004 March,1.809,101.0548
2004 April,1.875,100.8842
2004 May,2.05,100.8061
2004 June,2.083,100.9436
2004 July,1.982,101.0546
2004 August,1.941,101.03
2004 September,1.934,100.9115
2004 October,2.072,100.8225
2004 November,2.053,100.8866
2004 December,1.926,101.0219
2005 January,1.866,101.0072
2005 February,1.96,100.8521
2005 March,2.107,100.6232
2005 April,2.325,100.4354
2005 May,2.257,100.5031
2005 June,2.218,100.7526
2005 July,2.357,100.6593
2005 August,2.548,100.0697
2005 September,2.969,99.35309
2005 October,2.83,99.12051
2005 November,2.387,99.50594
2005 December,2.23,100.081
2006 January,2.359,100.3406
2006 February,2.354,100.292
2006 March,2.444,100.1611
2006 April,2.801,99.91027
2006 May,2.993,99.62917
2006 June,2.963,99.60847
2006 July,3.046,99.64452
2006 August,3.033,99.74246
2006 September,2.637,100.0567
2006 October,2.319,100.4753
2006 November,2.287,100.7055
2006 December,2.38,100.8206
2007 January,2.321,100.8525
2007 February,2.333,100.6301
2007 March,2.639,100.3592
2007 April,2.909,100.1858
2007 May,3.176,100.1257
2007 June,3.1,100.0851
2007 July,3.013,100.0621
2007 August,2.833,99.8337
2007 September,2.839,99.57946
2007 October,2.843,99.28596
2007 November,3.118,99.00114
2007 December,3.069,98.83356
2008 January,3.096,98.67249
2008 February,3.083,98.28481
2008 March,3.307,97.81744
2008 April,3.491,97.29062
2008 May,3.813,96.91238
2008 June,4.115,96.79343
2008 July,4.142,96.99598
2008 August,3.838,97.25259
2008 September,3.749,97.32844
2008 October,3.225,96.97647
2008 November,2.208,96.72057
2008 December,1.742,96.71312
2009 January,1.838,96.72031
2009 February,1.979,96.69434
2009 March,2.0,96.89571
2009 April,2.107,97.34258
2009 May,2.314,97.7271
2009 June,2.681,97.88628
2009 July,2.594,97.8412
2009 August,2.677,97.88477
2009 September,2.626,98.06211
2009 October,2.613,98.09167
2009 November,2.709,98.10566
2009 December,2.671,98.27929
2010 January,2.779,98.44024
2010 February,2.709,98.4951
2010 March,2.829,98.49202
2010 April,2.906,98.47169
2010 May,2.915,98.47042
2010 June,2.783,98.37579
2010 July,2.783,98.09258
2010 August,2.795,97.91985
2010 September,2.754,97.86927
2010 October,2.843,97.96728
2010 November,2.899,98.22328
2010 December,3.031,98.47285
2011 January,3.139,98.58057
2011 February,3.215,98.53176
2011 March,3.594,98.28942
2011 April,3.863,98.23131
2011 May,3.982,98.21569
2011 June,3.753,97.91002
2011 July,3.703,97.33607
2011 August,3.68,96.84618
2011 September,3.664,96.77935
2011 October,3.521,97.00982
2011 November,3.475,97.44928
2011 December,3.329,97.99287
2012 January,3.447,98.45629
2012 February,3.622,98.71465
2012 March,3.918,98.83915
2012 April,3.976,98.87405
2012 May,3.839,98.818
2012 June,3.602,98.61277
2012 July,3.502,98.54045
2012 August,3.759,98.71098
2012 September,3.908,99.02848
2012 October,3.839,99.25616
2012 November,3.542,99.16945
2012 December,3.386,98.83421
2013 January,3.407,98.70532
2013 February,3.748,98.80871
2013 March,3.792,98.97617
2013 April,3.647,99.18914
2013 May,3.682,99.52883
2013 June,3.693,99.70445
2013 July,3.687,99.6666
2013 August,3.658,99.38459
2013 September,3.616,99.00192
2013 October,3.434,98.76535
2013 November,3.31,98.86625
2013 December,3.333,99.17125
2014 January,3.378,99.34486
2014 February,3.422,99.41525
2014 March,3.59,99.44765
2014 April,3.717,99.521
2014 May,3.745,99.50731
2014 June,3.75,99.48078
2014 July,3.69,99.47256
2014 August,3.54,99.56789
2014 September,3.463,99.77317
2014 October,3.241,100.0618
2014 November,2.945,100.4159
2014 December,2.618,100.8085
2015 January,2.17,101.073
2015 February,2.308,101.0753
2015 March,2.544,100.9787
2015 April,2.545,100.9239
2015 May,2.832,100.8434
2015 June,2.889,100.8576
2015 July,2.893,100.7427
2015 August,2.745,100.5531
2015 September,2.463,100.3822
2015 October,2.357,100.4114
2015 November,2.249,100.5281
2015 December,2.125,100.6252
2016 January,2.034,100.6383
2016 February,1.833,100.6009
2016 March,2.021,100.5611
2016 April,2.196,100.5831
2016 May,2.324,100.7056
2016 June,2.422,100.6836
2016 July,2.287,100.5368
2016 August,2.218,100.4307
2016 September,2.269,100.4115
2016 October,2.304,100.4885
2016 November,2.246,100.8179
2016 December,2.289,101.1555
